Full Evaluation Report

--- Bin: 0 (No Fire) fire pixels (202 samples) ---
sample_0001.npy: GT=0, AUPRC=0.0000
sample_0002.npy: GT=0, AUPRC=0.0000
sample_0004.npy: GT=0, AUPRC=0.0000
sample_0008.npy: GT=0, AUPRC=0.0000
sample_0009.npy: GT=0, AUPRC=0.0000
sample_0011.npy: GT=0, AUPRC=0.0000
sample_0012.npy: GT=0, AUPRC=0.0000
sample_0013.npy: GT=0, AUPRC=0.0000
sample_0015.npy: GT=0, AUPRC=0.0000
sample_0133.npy: GT=0, AUPRC=0.0000
sample_0136.npy: GT=0, AUPRC=0.0000
sample_0141.npy: GT=0, AUPRC=0.0000
sample_0143.npy: GT=0, AUPRC=0.0000
sample_0144.npy: GT=0, AUPRC=0.0000
sample_0145.npy: GT=0, AUPRC=0.0000
sample_0147.npy: GT=0, AUPRC=0.0000
sample_0148.npy: GT=0, AUPRC=0.0000
sample_0149.npy: GT=0, AUPRC=0.0000
sample_0151.npy: GT=0, AUPRC=0.0000
sample_0255.npy: GT=0, AUPRC=0.0000
sample_0256.npy: GT=0, AUPRC=0.0000
sample_0257.npy: GT=0, AUPRC=0.0000
sample_0259.npy: GT=0, AUPRC=0.0000
sample_0260.npy: GT=0, AUPRC=0.0000
sample_0264.npy: GT=0, AUPRC=0.0000
sample_0266.npy: GT=0, AUPRC=0.0000
sample_0267.npy: GT=0, AUPRC=0.0000
sample_0268.npy: GT=0, AUPRC=0.0000
sample_0269.npy: GT=0, AUPRC=0.0000
sample_0271.npy: GT=0, AUPRC=0.0000
sample_0370.npy: GT=0, AUPRC=0.0000
sample_0371.npy: GT=0, AUPRC=0.0000
sample_0372.npy: GT=0, AUPRC=0.0000
sample_0373.npy: GT=0, AUPRC=0.0000
sample_0374.npy: GT=0, AUPRC=0.0000
sample_0375.npy: GT=0, AUPRC=0.0000
sample_0380.npy: GT=0, AUPRC=0.0000
sample_0381.npy: GT=0, AUPRC=0.0000
sample_0382.npy: GT=0, AUPRC=0.0000
sample_0383.npy: GT=0, AUPRC=0.0000
sample_0384.npy: GT=0, AUPRC=0.0000
sample_0386.npy: GT=0, AUPRC=0.0000
sample_0388.npy: GT=0, AUPRC=0.0000
sample_0390.npy: GT=0, AUPRC=0.0000
sample_0491.npy: GT=0, AUPRC=0.0000
sample_0492.npy: GT=0, AUPRC=0.0000
sample_0493.npy: GT=0, AUPRC=0.0000
sample_0494.npy: GT=0, AUPRC=0.0000
sample_0496.npy: GT=0, AUPRC=0.0000
sample_0497.npy: GT=0, AUPRC=0.0000
sample_0498.npy: GT=0, AUPRC=0.0000
sample_0499.npy: GT=0, AUPRC=0.0000
sample_0500.npy: GT=0, AUPRC=0.0000
sample_0501.npy: GT=0, AUPRC=0.0000
sample_0502.npy: GT=0, AUPRC=0.0000
sample_0503.npy: GT=0, AUPRC=0.0000
sample_0504.npy: GT=0, AUPRC=0.0000
sample_0505.npy: GT=0, AUPRC=0.0000
sample_0506.npy: GT=0, AUPRC=0.0000
sample_0591.npy: GT=0, AUPRC=0.0000
sample_0592.npy: GT=0, AUPRC=0.0000
sample_0593.npy: GT=0, AUPRC=0.0000
sample_0595.npy: GT=0, AUPRC=0.0000
sample_0596.npy: GT=0, AUPRC=0.0000
sample_0600.npy: GT=0, AUPRC=0.0000
sample_0601.npy: GT=0, AUPRC=0.0000
sample_0602.npy: GT=0, AUPRC=0.0000
sample_0603.npy: GT=0, AUPRC=0.0000
sample_0604.npy: GT=0, AUPRC=0.0000
sample_0605.npy: GT=0, AUPRC=0.0000
sample_0691.npy: GT=0, AUPRC=0.0000
sample_0692.npy: GT=0, AUPRC=0.0000
sample_0694.npy: GT=0, AUPRC=0.0000
sample_0695.npy: GT=0, AUPRC=0.0000
sample_0696.npy: GT=0, AUPRC=0.0000
sample_0697.npy: GT=0, AUPRC=0.0000
sample_0698.npy: GT=0, AUPRC=0.0000
sample_0699.npy: GT=0, AUPRC=0.0000
sample_0700.npy: GT=0, AUPRC=0.0000
sample_0702.npy: GT=0, AUPRC=0.0000
sample_0703.npy: GT=0, AUPRC=0.0000
sample_0704.npy: GT=0, AUPRC=0.0000
sample_0770.npy: GT=0, AUPRC=0.0000
sample_0772.npy: GT=0, AUPRC=0.0000
sample_0773.npy: GT=0, AUPRC=0.0000
sample_0774.npy: GT=0, AUPRC=0.0000
sample_0775.npy: GT=0, AUPRC=0.0000
sample_0776.npy: GT=0, AUPRC=0.0000
sample_0777.npy: GT=0, AUPRC=0.0000
sample_0778.npy: GT=0, AUPRC=0.0000
sample_0779.npy: GT=0, AUPRC=0.0000
sample_0780.npy: GT=0, AUPRC=0.0000
sample_0782.npy: GT=0, AUPRC=0.0000
sample_0783.npy: GT=0, AUPRC=0.0000
sample_0784.npy: GT=0, AUPRC=0.0000
sample_0785.npy: GT=0, AUPRC=0.0000
sample_0786.npy: GT=0, AUPRC=0.0000
sample_0787.npy: GT=0, AUPRC=0.0000
sample_0788.npy: GT=0, AUPRC=0.0000
sample_0789.npy: GT=0, AUPRC=0.0000
sample_0861.npy: GT=0, AUPRC=0.0000
sample_0862.npy: GT=0, AUPRC=0.0000
sample_0863.npy: GT=0, AUPRC=0.0000
sample_0864.npy: GT=0, AUPRC=0.0000
sample_0865.npy: GT=0, AUPRC=0.0000
sample_0866.npy: GT=0, AUPRC=0.0000
sample_0867.npy: GT=0, AUPRC=0.0000
sample_0868.npy: GT=0, AUPRC=0.0000
sample_0869.npy: GT=0, AUPRC=0.0000
sample_0870.npy: GT=0, AUPRC=0.0000
sample_0871.npy: GT=0, AUPRC=0.0000
sample_0872.npy: GT=0, AUPRC=0.0000
sample_0873.npy: GT=0, AUPRC=0.0000
sample_0874.npy: GT=0, AUPRC=0.0000
sample_0875.npy: GT=0, AUPRC=0.0000
sample_0876.npy: GT=0, AUPRC=0.0000
sample_0877.npy: GT=0, AUPRC=0.0000
sample_0879.npy: GT=0, AUPRC=0.0000
sample_0957.npy: GT=0, AUPRC=0.0000
sample_0958.npy: GT=0, AUPRC=0.0000
sample_0959.npy: GT=0, AUPRC=0.0000
sample_0960.npy: GT=0, AUPRC=0.0000
sample_0961.npy: GT=0, AUPRC=0.0000
sample_0962.npy: GT=0, AUPRC=0.0000
sample_1051.npy: GT=0, AUPRC=0.0000
sample_1052.npy: GT=0, AUPRC=0.0000
sample_1054.npy: GT=0, AUPRC=0.0000
sample_1056.npy: GT=0, AUPRC=0.0000
sample_1057.npy: GT=0, AUPRC=0.0000
sample_1133.npy: GT=0, AUPRC=0.0000
sample_1134.npy: GT=0, AUPRC=0.0000
sample_1135.npy: GT=0, AUPRC=0.0000
sample_1136.npy: GT=0, AUPRC=0.0000
sample_1137.npy: GT=0, AUPRC=0.0000
